time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.2037397622e-08,-1.00713386387e-07,10.0055007314,6.2829979134,3.53329921179e-05,0.0,-3.11704645836e-06,-1.30716726614e-05,0.183345331747,-0.0102447539733,0.00174148095991,0.0,462.9284935829098,463.0654682049725,462.585517594478,461.77828746987865
0.12000000000000001,-1.36900012788e-06,-7.16034826623e-06,10.0214197096,6.28279614409,3.70126433769e-06,0.0,-4.59953514434e-05,-0.000264752366223,0.347251025985,0.00771403621065,-0.00550220497988,0.0,457.2425984077994,456.6652702087953,455.88893029987344,457.3214445738711
0.18,-2.8995134583e-06,-2.98550191067e-05,10.0473633843,0.00017554912216,6.28294105621,0.0,2.73179644644e-05,-0.000433741027617,0.517475927522,0.0126079850893,-0.00152487649481,0.0,458.16939024638407,458.4855251414057,459.0635570985763,459.45154203522503
0.23999999999999996,3.52225751731e-06,-4.92031778897e-05,10.079895312,0.00147762435538,6.28308051172,0.0,0.000183582505395,-0.000109787076405,0.566898020271,0.0355140092185,0.00908493950836,0.0,419.9529271797756,420.87204464191626,420.270374651,422.2508252315299
0.3,1.4720839671e-05,-9.80944495012e-06,10.1206310018,0.00388195150015,0.000309594851704,0.0,0.000131479208913,0.00169712553957,0.790829465558,0.047906447072,0.00214851789123,0.0,475.713604620021,475.18213747406975,473.99948368346736,474.9514430965739
0.36000000000000004,1.53626767793e-05,0.000189414164193,10.1724326304,0.00698149312011,0.000267946431831,0.0,-0.000115564427118,0.00526871509125,0.935782070463,0.0582671350047,-0.00709140968756,0.0,452.87499445957883,452.1312918839056,450.2660094715358,451.10496321112083
0.4200000000000001,5.0420039611e-06,0.000640868215393,10.2285954759,0.0109561533669,6.28308855575,0.0,-0.000194037888505,0.010108809034,0.936309606897,0.0787095699133,-0.00412532435615,0.0,404.36960308377587,404.6367729240434,404.62567808828874,406.465235093614
0.48000000000000015,-3.05171279129e-06,0.00154086371884,10.2917602199,0.0167278831099,6.28279986876,0.0,-4.32142050882e-05,0.0205426052824,1.16896477431,0.118171388749,-0.00622035313946,0.0,478.516003092925,478.35660236204444,476.16448438932946,479.1799996365672
0.5400000000000001,3.8550317837e-06,0.00317878501856,10.3667082392,0.023442660474,6.28295478332,0.0,0.000280892968574,0.0348221549867,1.32911499454,0.0948949785729,0.0160531035748,0.0,455.51758263626823,457.2950646167246,458.49329965668954,456.6509380920545
0.6000000000000002,2.19162324968e-05,0.00581652490884,10.4511836651,0.0289803250419,0.000380428215752,0.0,0.00022990473548,0.0537189193484,1.4865247597,0.0865116701433,-0.00539083654171,0.0,457.41641350793697,455.70559020725557,456.89809645895446,456.236213508508
0.6600000000000003,2.8083683599e-05,0.00975358229914,10.5465455957,0.0344016662335,3.90771803511e-05,0.0,1.4862713428e-05,0.0781328329214,1.69190502718,0.0971037887472,-0.00629268398338,0.0,471.3696021804861,471.3000093540057,471.03351646641073,471.85813568152207
0.7200000000000003,2.9547974501e-05,0.0152036697122,10.651876208,0.0400476962684,6.2829445339,0.0,6.86083230963e-05,0.104138515536,1.81889818472,0.0872974109446,-0.0015911958574,0.0,447.592760062522,447.97527690321095,449.24733794696306,448.45893048792635
0.7800000000000004,3.9737950361e-05,0.0223998657814,10.7664384505,0.0447500621778,6.28264660116,0.0,0.000292217510324,0.136303722521,1.99951835849,0.0470190173486,-0.0127527788241,0.0,465.5958476775839,464.72192604781316,466.6756734148555,463.52539744045737
0.8400000000000004,7.27435348572e-05,0.0316038075716,10.8913967881,0.0474575570467,6.28181158992,0.0,0.000897131664435,0.170789397554,2.16544299041,0.0410400262674,-0.0163529434027,0.0,460.2202633469197,459.93535475445486,462.9252061433864,462.45560372138937
0.9000000000000005,0.00015640644834,0.0427812123581,11.0230614601,0.050140147126,6.28030032801,0.0,0.00199844136013,0.202031736991,2.22325324358,0.0511890306549,-0.0558581750591,0.0,428.9696372129983,425.6014480539905,428.66676158352055,429.5295025448807
0.9600000000000005,0.00033343554559,0.0557455800668,11.155405318,0.0532067950142,6.277924334,0.0,0.00412845344047,0.230367917339,2.18825949128,0.0509539304492,-0.0186363623423,0.0,395.9095715756696,399.31808028585067,396.66312624697974,396.64354995852364
1.0200000000000005,0.000683704545675,0.0705745285227,11.2877581605,0.0558171246371,6.27663003885,0.0,0.00765769664819,0.264193840134,2.22341465009,0.0212725763194,-0.0282042270725,0.0,421.20898935837437,420.3807118114838,422.353287682997,419.78670980061105
1.0800000000000005,0.00129087921626,0.087632317138,11.4250148795,0.0571557498391,6.27518006017,0.0,0.0127456134041,0.304521521126,2.3515402961,0.0243090598712,-0.0171159811771,0.0,449.73261081786484,450.62970169764026,451.4155511869008,451.66051802885625
1.1400000000000006,0.00224532942876,0.107233287695,11.5716019914,0.0584637015118,6.27444143445,0.0,0.0191655617803,0.348977917159,2.53429320667,0.0162369987269,-0.00410926558974,0.0,467.5481597380803,468.5604979277448,468.2872578558043,467.6589424956486
1.2000000000000006,0.00358271814044,0.129420700322,11.7273005707,0.0594043914545,6.27428234322,0.0,0.0254327962879,0.390684000401,2.65537328128,0.0145364535006,0.000115431845669,0.0,450.95223252376616,451.29341055658614,449.1629129125613,449.02488183154986
1.2600000000000007,0.00529722729315,0.154120117557,11.8900987588,0.0605864128314,6.27399671003,0.0,0.0317270208334,0.432718827433,2.77094605939,0.0284209520925,-0.0169359275787,0.0,449.37554136823695,447.9913007387159,448.7687968279897,449.89434855562206
